"SCHOOL_YEAR","SYSTEM_ID","ORIGINAL_SCHOOL_ID","CHANGE_TYPE","SYSTEM_ID2","NEW_ID","GRADES","CHANGE_DESC"
"2019-2020","721","0184","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","0197","6,7,8","Reconfiguration"
"2019-2020","721","0184","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","0397","6,7,8","Reconfiguration"
"2019-2020","721","4062","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","721","4062","PK-5","Closure"
"2019-2020","721","1065","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","4064","PK,1,2,3,4,5","Reconfiguration"
"2019-2020","721","4062","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","4064","PK,1,2,3,4,5","Reconfiguration"
"2019-2020","721","1065","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","4064","PK,1,2,3,4,5","Reconfiguration"
"2019-2020","721","4062","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","0397","PK,1,2,3,4,5","Reconfiguration"
"2019-2020","721","1062","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","0397","PK,1,2,3,4,5","Reconfiguration"
"2019-2020","721","0197","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","0397","PK,1,2,3,4,5","Reconfiguration"
"2018-2019","721","0115","SCHOOL_SPECIAL_CASE_RECONFIGURE","721","0115","4,5,6,7,8","Reconfiguration"
"2018-2019","721","0393","SCHOOL_SPECIAL_CASE_RECONFIGURE","721","0393","PK,1,2,3","Reconfiguration"
"2020-2021","729","0396","SCHOOL_AUTHORIZATION","7830626","7830626","","Charter Authorization"
"2021-2022","729","0105","SCHOOL_MERGE","729","0397","","Merge"
"2021-2022","729","0205","SCHOOL_MERGE","729","0397","","Merge"
"2020-2021","733","0105","SCHOOL_MERGE","733","0105","","Merge"
"2020-2021","733","0105","SCHOOL_MERGE","733","0104","","Merge"
"2020-2021","733","0205","SCHOOL_MERGE","733","0205","","Merge"
"2020-2021","721","0115","SCHOOL_SPECIAL_CASE_RECONFIGURE","721","0115","6,7,8","Reconfiguration"
"2020-2021","721","0393","SCHOOL_SPECIAL_CASE_RECONFIGURE","721","0393","PK,K,1,2,3,4,5","Reconfiguration"
"2018-2019","737","0104","SCHOOL_SPECIAL_CASE_RECONFIGURE","737","0104","PK,K,1,2,3,4,5","Reconfiguration"
"2018-2019","737","0173","SCHOOL_SPECIAL_CASE_RECONFIGURE","737","0173","PK,K,1,2,3,4,5","Reconfiguration"
"2018-2019","737","0299","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","737","3052","7,8","Reconfiguration"
"2018-2019","737","1052","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","737","3052","6","Reconfiguration"
"2018-2019","737","2050","SCHOOL_SPECIAL_CASE_RECONFIGURE","737","2050","K,1,2,3,4,5","Reconfiguration"
"2018-2019","737","3050","SCHOOL_SPECIAL_CASE_RECONFIGURE","737","3050","K,1,2,3,4,5","Reconfiguration"
"2018-2019","737","3052","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","737","3052","9","Closure"
"2018-2019","737","3052","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","737","0199","9","Reconfiguration"
"2018-2019","737","4052","SCHOOL_SPECIAL_CASE_RECONFIGURE","737","4052","K,1,2,3,4,5","Reconfiguration"
"2018-2019","737","5050","SCHOOL_SPECIAL_CASE_RECONFIGURE","737","1052","K,1,2,3,4,5","Reconfiguration"
"2018-2019","737","5050","SCHOOL_SPECIAL_CASE_RECONFIGURE","737","5050","K,1,2,3,4,5","Reconfiguration"
"2018-2019","754","0204","SCHOOL_MERGE","754","0105","","Merge"
"2019-2020","761","1068","SCHOOL_MERGE","761","1421","","Merge"
"2019-2020","761","3059","SCHOOL_MERGE","761","1421","","Merge"
"2019-2020","764","0100","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","764","0292","4,5","Reconfiguration"
"2019-2020","764","0100","SCHOOL_SPECIAL_CASE_RECONFIGURE","764","0100","1,2,3","Reconfiguration"
"2019-2020","764","0196","SCHOOL_SPECIAL_CASE_RECONFIGURE","764","0196","PK,K","Reconfiguration"
"2018-2019","765","0305","SCHOOL_MERGE","765","0405","PK,K,1,2,3,4,5","Merge"
"2020-2021","772","0110","SCHOOL_SPECIAL_CASE_RECONFIGURE","772","0110","9,10,11,12","Reconfiguration"
"2020-2021","772","0201","SCHOOL_SPECIAL_CASE_RECONFIGURE","772","0201","6,7,8","Reconfiguration"
